"Convergence history of Velocity Magnitude on miao37 (in SI units)"
"Iteration" "flow-time etc.."
("Iteration" "flow-time" "Sum Velocity Magnitude")
100 0.1 2.8795065980378
200 0.2 3.03067027807011
300 0.3 2.816963381878345
400 0.4 2.663953653646644
500 0.5 2.592666898847896
600 0.6 2.705959536967532
700 0.7000000000000001 2.978978237104003
800 0.8 3.460055109067105
900 0.9 4.2107317715376
1000 1 4.770441190256927
1100 1.1 4.300534635639911
1200 1.2 2.99857050477352
1300 1.3 1.67546821731805
1400 1.4 2.000738638644409
1500 1.5 3.610773687683238
1600 1.6 5.231683794118275
1700 1.7 6.61874165066745
1800 1.8 7.727707058527258
1900 1.9 8.532160945925204
2000 2 9.022851613130696
2100 2.1 9.585115246784332
2200 2.2 9.973157630869226
2300 2.3 10.56654323597662
2400 2.4 10.9817417551151
2500 2.5 11.53123235907896
2600 2.6 11.6836254361584
2700 2.7 11.63914568883472
2800 2.8 11.47787362613948
2900 2.9 11.4966516089529
3000 3 10.42535984029972
3100 3.1 9.868784674419281
3200 3.2 10.56492354593795
3300 3.3 10.10422868520565
3400 3.4 8.069250732866342
3500 3.5 8.219953931909565
3600 3.6 8.740513047718158
3700 3.7 9.185808093761036
3800 3.8 9.437891097192402
3900 3.9 9.383303303291422
4000 4 9.434062999435874
4100 4.1 9.666637838696358
4200 4.2 10.01749834137745
4300 4.3 10.18688782974221
4400 4.4 9.727512922888954
4500 4.5 9.585158340337546
4600 4.600000000000001 9.281157977448904
4700 4.7 8.830801618423939
4800 4.8 8.210511663928873
4900 4.9 7.564473515826262
5000 5 6.863704258582704
5100 5.100000000000001 6.595401576477096
5200 5.2 6.428815599598681
5300 5.3 6.332485446711304
5400 5.4 6.529464712541427
5500 5.5 6.162951019695746
5600 5.600000000000001 5.935695349330062
5700 5.7 6.175348235505142
5800 5.8 6.62423961887836
5900 5.9 6.53224108021086
6000 6 6.682172915253269
6100 6.100000000000001 6.492263851091489
6200 6.2 6.031769041892299
6300 6.3 5.184221358821074
6400 6.4 4.515201600682695
6500 6.5 6.566602492384006
6600 6.600000000000001 9.254594636875574
6700 6.7 9.441787575538326
6800 6.8 9.376646541270201
6900 6.9 7.745888941075651
7000 7 6.918473792760727
7100 7.100000000000001 5.608698074942283
7200 7.2 4.856577763997357
7300 7.3 4.38683315336895
7400 7.4 4.301429469796452
7500 7.5 4.612533737085459
7600 7.600000000000001 5.140841807225558
7700 7.7 5.551501276838233
7800 7.8 4.360337944193553
7900 7.9 3.238459796576492
